招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(04)智能仪器与智能机器人,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(002)电子信息工程学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：68(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(921)通信类专业综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(07)系统仿真与智慧制造,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(06)系统智能与自动化安全,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(02)模式识别与智能系统,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(05)导航、制导与控制,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(03)自动测试与智能检测,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(01)控制理论与控制工程,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(085400)(专业学位)电子信息,全日制,(08)电气工程,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：48(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(933)控制工程综合
(10006)北京航空航天大学,统考,(006)计算机学院,(085400)(专业学位)电子信息,全日制,(00)不区分研究方向,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：53(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(961)计算机基础综合
