招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10013)北京邮电大学,统考,(009)人文学院,(055100)(专业学位)翻译,全日制,(02)英语口译,徐静、陈谊、马隽,专业：9(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10013)北京邮电大学,统考,(009)人文学院,(055100)(专业学位)翻译,全日制,(03)信息科技翻译,杨京鹏、张钫炜,专业：9(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10001)北京大学,统考,(039)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：20(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10011)北京工商大学,统考,(014)外国语学院,(055100)(专业学位)翻译,全日制,(00)不区分研究方向,,专业：23(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10013)北京邮电大学,统考,(009)人文学院,(055100)(专业学位)翻译,全日制,(01)英语笔译,王斌、王霞、王保令、金梅、史金金、韩凌、李楠、焦丽霞、郑春萍、杨纪平、栾琳,专业：9(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10008)北京科技大学,统考,(110)外国语学院,(055100)(专业学位)翻译,全日制,(02)日语,,研究方向：4(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10001)北京大学,统考,(039)外国语学院,(055106)(专业学位)日语口译,全日制,(00)不区分研究方向,,专业：12(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10008)北京科技大学,统考,(110)外国语学院,(055100)(专业学位)翻译,全日制,(01)英语,,研究方向：11(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10007)北京理工大学,统考,(224)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：9(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10027)北京师范大学,统考,(011)外国语言文学学院,(055101)(专业学位)英语笔译,全日制,(01)不设方向,,专业：22(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10002)中国人民大学,统考,(132)外国语学院,(055101)(专业学位)英语笔译,全日制,(01)不区分研究方向,不区分导师,专业：10(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10002)中国人民大学,统考,(132)外国语学院,(055101)(专业学位)英语笔译,全日制,(02)少数民族骨干计划,不区分导师,专业：10(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10008)北京科技大学,统考,(110)外国语学院,(055100)(专业学位)翻译,全日制,(03)德语,,研究方向：4(不含推免),(101)思想政治理论,(215)翻译硕士德语,(361)德语翻译基础,(448)汉语写作与百科知识
(10004)北京交通大学,统考,(012)语言与传播学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：14(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10036)对外经济贸易大学,统考,(006)英语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,,专业：23(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10001)北京大学,统考,(039)外国语学院,(055105)(专业学位)日语笔译,全日制,(00)不区分研究方向,,专业：8(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10036)对外经济贸易大学,统考,(006)英语学院,(055102)(专业学位)英语口译,全日制,(01)商务口译,,专业：52(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10002)中国人民大学,统考,(132)外国语学院,(055102)(专业学位)英语口译,全日制,(01)不区分研究方向,不区分导师,专业：5(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10002)中国人民大学,统考,(132)外国语学院,(055102)(专业学位)英语口译,全日制,(02)少数民族骨干计划,不区分导师,专业：5(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10036)对外经济贸易大学,统考,(007)外语学院,(055106)(专业学位)日语口译,全日制,(01)同声传译,,专业：19(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
(10006)北京航空航天大学,统考,(012)外国语学院,(055101)(专业学位)英语笔译,全日制,(00)不区分研究方向,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：15(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10036)对外经济贸易大学,统考,(007)外语学院,(055120)(专业学位)意大利语口译,全日制,(01)同声传译,,专业：3(不含推免),(101)思想政治理论,(220)翻译硕士意大利语,(366)意大利语翻译基础,(448)汉语写作与百科知识
(10036)对外经济贸易大学,统考,(007)外语学院,(055112)(专业学位)朝鲜语口译,全日制,(01)同声传译,,专业：20(不含推免),(101)思想政治理论,(216)翻译硕士朝鲜语,(362)朝鲜语翻译基础,(448)汉语写作与百科知识
(10036)对外经济贸易大学,统考,(006)英语学院,(055102)(专业学位)英语口译,全日制,(02)国际会议口译(需增加“国际会议口译”选拔面试,,专业：52(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10032)北京语言大学,统考,(002)外国语学部,(055101)(专业学位)英语笔译,全日制,(01)文化传播与翻译,,专业：21(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10032)北京语言大学,统考,(002)外国语学部,(055101)(专业学位)英语笔译,全日制,(02)高级应用笔译,,专业：21(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10033)中国传媒大学,统考,(216)外国语言文化学院,(055101)(专业学位)英语笔译,全日制,(01)影视翻译,,专业：13(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10033)中国传媒大学,统考,(216)外国语言文化学院,(055101)(专业学位)英语笔译,全日制,(02)新闻翻译,,专业：13(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10032)北京语言大学,统考,(002)外国语学部,(055101)(专业学位)英语笔译,全日制,(03)商务与法律翻译,,专业：21(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10032)北京语言大学,统考,(002)外国语学部,(055102)(专业学位)英语口译,全日制,(01)英语高级口译,,专业：18(不含推免),(101)思想政治理论,(211)翻译硕士英语,(357)英语翻译基础,(448)汉语写作与百科知识
(10033)中国传媒大学,统考,(216)外国语言文化学院,(055106)(专业学位)日语口译,全日制,(00)不区分研究方向,,专业：8(不含推免),(101)思想政治理论,(213)翻译硕士日语,(359)日语翻译基础,(448)汉语写作与百科知识
