招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10004)北京交通大学,统考,(007)电气工程学院,(085801)(专业学位)电气工程,全日制,(05)电工理论与新技术,,专业：82(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(970)电路
(10009)北方工业大学,统考,(002)电气与控制工程学院,(085801)(专业学位)电气工程,全日制,(01)高性能电机运行与控制,,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)自动控制原理
(10004)北京交通大学,统考,(007)电气工程学院,(085801)(专业学位)电气工程,全日制,(01)电机与电器,,专业：82(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(970)电路
(10009)北方工业大学,统考,(002)电气与控制工程学院,(085801)(专业学位)电气工程,全日制,(02)先进电力电子变换技术,,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)自动控制原理
(10004)北京交通大学,统考,(007)电气工程学院,(085801)(专业学位)电气工程,全日制,(03)电力电子与电力传动,,专业：82(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(970)电路
(10004)北京交通大学,统考,(007)电气工程学院,(085801)(专业学位)电气工程,全日制,(04)高电压与绝缘技术,,专业：82(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(970)电路
(10004)北京交通大学,统考,(007)电气工程学院,(085801)(专业学位)电气工程,全日制,(02)电力系统及其自动化,,专业：82(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(970)电路
(10009)北方工业大学,统考,(002)电气与控制工程学院,(085801)(专业学位)电气工程,全日制,(03)电力系统运行与控制,,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)自动控制原理
(10005)北京工业大学,统考,(065)环境与生命学部,(085800)(专业学位)能源动力,全日制,(03)制冷低温系统及其节能环保技术,,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)传热学
(10003)清华大学,统考,(014)能源与动力工程系,(085800)(专业学位)能源动力,全日制,(01)能源动力,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(823)热流基础
(10005)北京工业大学,统考,(065)环境与生命学部,(085800)(专业学位)能源动力,全日制,(02)能源动力系统优化及工程应用,,专业：25(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)传热学
(10009)北方工业大学,统考,(002)电气与控制工程学院,(085808)(专业学位)储能技术,全日制,(02)新能源发电技术,,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(085808)(专业学位)储能技术,全日制,(03)智能电网技术,,专业：22(不含推免),(101)思想政治理论,(204)英语（二）,(302)数学（二）,(851)自动控制原理
