招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081100)控制科学与工程,全日制,(01)模式识别与智能系统,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(001)电子信息工程学院,(081100)控制科学与工程,全日制,(01)控制理论与控制工程,,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(895)经典控制理论
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081100)控制科学与工程,全日制,(02)物联网与边缘计算,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(001)电子信息工程学院,(081100)控制科学与工程,全日制,(04)现代检测技术与智能仪器设计,,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(895)经典控制理论
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081100)控制科学与工程,全日制,(04)智能感知与云计算,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(001)电子信息工程学院,(081100)控制科学与工程,全日制,(02)人工智能与工业大数据系统,,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(895)经典控制理论
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081100)控制科学与工程,全日制,(03)机器人技术与无人驾驶,,专业：4(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
(10004)北京交通大学,统考,(001)电子信息工程学院,(081100)控制科学与工程,全日制,(03)无人系统与智能感知,,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(895)经典控制理论
(10005)北京工业大学,统考,(073)信息学部人工智能与自动化学院,(081100)控制科学与工程,全日制,(03)机器感知与模式识别,,专业：57(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(821)自动控制原理
(10005)北京工业大学,统考,(073)信息学部人工智能与自动化学院,(081100)控制科学与工程,全日制,(04)智能检测与人机交互,,专业：57(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(821)自动控制原理
(10004)北京交通大学,统考,(004)交通运输学院,(081100)控制科学与工程,全日制,(00)不区分研究方向,,专业：7(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(942)管理运筹学
(10004)北京交通大学,统考,(004)交通运输学院,(081100)控制科学与工程,全日制,(00)不区分研究方向,,专业：7(不含推免),(101)思想政治理论,(203)日语,(301)数学（一）,(942)管理运筹学
(10005)北京工业大学,统考,(073)信息学部人工智能与自动化学院,(081100)控制科学与工程,全日制,(01)智能系统与自主控制,,专业：57(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(821)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(081100)控制科学与工程,全日制,(01)控制理论与控制工程,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(081100)控制科学与工程,全日制,(02)智能交通系统工程,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(10005)北京工业大学,统考,(073)信息学部人工智能与自动化学院,(081100)控制科学与工程,全日制,(02)智能服务机器人,,专业：57(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(821)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(081100)控制科学与工程,全日制,(03)检测技术与自动化装置,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(081100)控制科学与工程,全日制,(04)模式识别与智能系统,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(10007)北京理工大学,统考,(206)自动化学院,(081100)控制科学与工程,全日制,(02)模式识别与智能系统,,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(810)自动控制理论
(10007)北京理工大学,统考,(206)自动化学院,(081100)控制科学与工程,全日制,(02)模式识别与智能系统,,专业：32(不含推免),(101)思想政治理论,(202)俄语,(301)数学（一）,(810)自动控制理论
(10007)北京理工大学,统考,(206)自动化学院,(081100)控制科学与工程,全日制,(02)模式识别与智能系统,,专业：32(不含推免),(101)思想政治理论,(203)日语,(301)数学（一）,(810)自动控制理论
(10007)北京理工大学,统考,(206)自动化学院,(081100)控制科学与工程,全日制,(01)智能感知与运动控制,,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(810)自动控制理论
(10007)北京理工大学,统考,(206)自动化学院,(081100)控制科学与工程,全日制,(01)智能感知与运动控制,,专业：32(不含推免),(101)思想政治理论,(202)俄语,(301)数学（一）,(810)自动控制理论
(10007)北京理工大学,统考,(206)自动化学院,(081100)控制科学与工程,全日制,(01)智能感知与运动控制,,专业：32(不含推免),(101)思想政治理论,(203)日语,(301)数学（一）,(810)自动控制理论
