招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(080800)电气工程,全日制,(03)电工理论与新技术,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(935)电气工程综合
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(080800)电气工程,全日制,(01)电机与电器,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(935)电气工程综合
(10009)北方工业大学,统考,(002)电气与控制工程学院,(080800)电气工程,全日制,(03)新能源系统与微电网,,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(080800)电气工程,全日制,(04)电力系统及其自动化,,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(14430)中国科学院大学,统考,(148)电工研究所,(080801)电机与电器,全日制,(01)电力设备新技术研究,,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(914)电路原理
(10006)北京航空航天大学,统考,(003)自动化科学与电气工程学院,(080800)电气工程,全日制,(02)电力电子与电力传动,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：6(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(935)电气工程综合
(10009)北方工业大学,统考,(002)电气与控制工程学院,(080800)电气工程,全日制,(01)电力电子与电力传动,,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(10009)北方工业大学,统考,(002)电气与控制工程学院,(080800)电气工程,全日制,(02)电机与电器,,专业：20(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(851)自动控制原理
(14430)中国科学院大学,统考,(148)电工研究所,(080801)电机与电器,全日制,(02)海洋能利用和海洋电气系统技术研究,,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(914)电路原理
(14430)中国科学院大学,统考,(148)电工研究所,(080801)电机与电器,全日制,(03)超导磁体及极端电磁应用研究,,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(914)电路原理
(14430)中国科学院大学,统考,(148)电工研究所,(080802)电力系统及其自动化,全日制,(01)电网科学技术研究,,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(914)电路原理
