招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10007)北京理工大学,统考,(207)计算机学院,(081200)计算机科学与技术,全日制,(03)软件智能与软件工程,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10007)北京理工大学,统考,(207)计算机学院,(081200)计算机科学与技术,全日制,(02)图像计算与感知智能,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10007)北京理工大学,统考,(207)计算机学院,(081200)计算机科学与技术,全日制,(04)数据科学与知识工程,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10007)北京理工大学,统考,(207)计算机学院,(081200)计算机科学与技术,全日制,(01)语言智能与社会计算,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10007)北京理工大学,统考,(207)计算机学院,(081200)计算机科学与技术,全日制,(05)可视媒体计算,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10007)北京理工大学,统考,(207)计算机学院,(081200)计算机科学与技术,全日制,(06)计算机体系结构与先进网络,,专业：26(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10007)北京理工大学,统考,(207)计算机学院,(0812J1)智能数字表演,全日制,(01)智能表演与仿真,,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(885)软件工程专业基础综合
(10007)北京理工大学,统考,(315)前沿交叉科学研究院,(081200)计算机科学与技术,全日制,(02)图像计算与感知智能,,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(813)计算机科学与技术专业基础综合
(10003)清华大学,统考,(024)计算机科学与技术系,(081200)计算机科学与技术,全日制,(01)计算机系统结构,不区分导师,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(912)计算机专业基础综合
(10003)清华大学,统考,(024)计算机科学与技术系,(081200)计算机科学与技术,全日制,(02)计算机软件与理论,不区分导师,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(912)计算机专业基础综合
(10003)清华大学,统考,(024)计算机科学与技术系,(081200)计算机科学与技术,全日制,(03)计算机应用技术,不区分导师,专业：12(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(912)计算机专业基础综合
(10003)清华大学,统考,(599)清华大学深圳国际研究生院,(0812J3)数据科学和信息技术,全日制,(01)数据科学交叉学科,不区分导师,研究方向：43(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(962)数学-数据方向基础综合
(10003)清华大学,统考,(601)清华大学全球创新学院,(0812J3)数据科学和信息技术,全日制,(01)智慧互联,不区分导师,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(912)计算机专业基础综合
(10002)中国人民大学,统考,(160)信息学院,(081201)计算机系统结构,全日制,(00)不区分研究方向,不区分导师,专业：1(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10002)中国人民大学,统考,(160)信息学院,(081203)计算机应用技术,全日制,(00)不区分研究方向,不区分导师,专业：10(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10002)中国人民大学,统考,(160)信息学院,(081202)计算机软件与理论,全日制,(00)不区分研究方向,不区分导师,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10002)中国人民大学,统考,(160)信息学院,(0812Z1)信息安全,全日制,(00)不区分研究方向,不区分导师,专业：2(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10002)中国人民大学,统考,(160)信息学院,(0812Z2)大数据科学与工程,全日制,(00)不区分研究方向,不区分导师,专业：5(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10006)北京航空航天大学,统考,(006)计算机学院,(081200)计算机科学与技术,全日制,(01)计算机系统结构,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(961)计算机基础综合
(10006)北京航空航天大学,统考,(006)计算机学院,(081200)计算机科学与技术,全日制,(02)计算机软件与理论,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(961)计算机基础综合
(10002)中国人民大学,统考,(166)高瓴人工智能学院,(0812Z3)人工智能,全日制,(00)人工智能,不区分导师,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(408)计算机学科专业基础
(10006)北京航空航天大学,统考,(006)计算机学院,(081200)计算机科学与技术,全日制,(03)计算机应用技术,请登录北航各学院网站http://www.buaa.edu.cn/jgsz/yxsz.htm查询或直接咨询相关单位,专业：32(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(961)计算机基础综合
(10004)北京交通大学,统考,(002)计算机与信息技术学院,(081200)计算机科学与技术,全日制,(02)数据与知识工程,,专业：31(不含推免),(101)思想政治理论,(201)英语（一）,(301)数学（一）,(906)计算机专业基础
