招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10001)北京大学,统考,(039)外国语学院,(050202)俄语语言文学,全日制,(00)不区分研究方向,,专业：3(不含推免),(101)思想政治理论,(201)英语（一）,(638)综合考试,(881)俄语语言文学及文化
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(03)翻译与跨文化研究,,专业：6(不含推免),(101)思想政治理论,(261)二外日语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(03)翻译与跨文化研究,,专业：6(不含推免),(101)思想政治理论,(262)二外法语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(03)翻译与跨文化研究,,专业：6(不含推免),(101)思想政治理论,(263)二外英语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(02)英美文学,,专业：6(不含推免),(101)思想政治理论,(261)二外日语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(02)英美文学,,专业：6(不含推免),(101)思想政治理论,(262)二外法语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(02)英美文学,,专业：6(不含推免),(101)思想政治理论,(263)二外英语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(04)日本文化,,专业：6(不含推免),(101)思想政治理论,(261)二外日语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(04)日本文化,,专业：6(不含推免),(101)思想政治理论,(262)二外法语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(04)日本文化,,专业：6(不含推免),(101)思想政治理论,(263)二外英语,(610)外语语言基础,(816)外语综合
(10001)北京大学,统考,(039)外国语学院,(050201)英语语言文学,全日制,(00)不区分研究方向,,专业：7(不含推免),(101)思想政治理论,(202)俄语,(622)专业能力,(851)专业知识
(10001)北京大学,统考,(039)外国语学院,(050201)英语语言文学,全日制,(00)不区分研究方向,,专业：7(不含推免),(101)思想政治理论,(203)日语,(622)专业能力,(851)专业知识
(10001)北京大学,统考,(039)外国语学院,(050201)英语语言文学,全日制,(00)不区分研究方向,,专业：7(不含推免),(101)思想政治理论,(253)法语,(622)专业能力,(851)专业知识
(10001)北京大学,统考,(039)外国语学院,(050201)英语语言文学,全日制,(00)不区分研究方向,,专业：7(不含推免),(101)思想政治理论,(254)德语,(622)专业能力,(851)专业知识
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(01)语言学及应用语言学,,专业：6(不含推免),(101)思想政治理论,(261)二外日语,(610)外语语言基础,(816)外语综合
(10005)北京工业大学,统考,(062)文法学部,(050200)外国语言文学,全日制,(01)语言学及应用语言学,,专业：6(不含推免),(101)思想政治理论,(262)二外法语,(610)外语语言基础,(816)外语综合
