招生单位,考试方式,院系所,专业,学习方式,研究方向,指导老师,拟招人数,政治,外语,业务课一,业务课二
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(01)法学理论,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(01)法学理论,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(01)法学理论,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(01)法学理论,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(01)法学理论,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(04)环境与能源法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(04)环境与能源法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(04)环境与能源法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(04)环境与能源法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(04)环境与能源法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(02)比较法与法文化学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(02)比较法与法文化学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(02)比较法与法文化学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(02)比较法与法文化学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(02)比较法与法文化学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(03)宪法学与行政法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(03)宪法学与行政法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(03)宪法学与行政法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(03)宪法学与行政法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(03)宪法学与行政法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(976)专业综合卷一（含中国法制史、行政法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(06)诉讼法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(06)诉讼法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(06)诉讼法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(06)诉讼法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(06)诉讼法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(05)刑法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(05)刑法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(05)刑法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(05)刑法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(05)刑法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(977)专业综合卷二（含刑法学、证据法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(07)民商法学,不区分导师,研究方向：6(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(07)民商法学,不区分导师,研究方向：6(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(07)民商法学,不区分导师,研究方向：6(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(07)民商法学,不区分导师,研究方向：6(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(07)民商法学,不区分导师,研究方向：6(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(08)经济法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(08)经济法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(08)经济法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(08)经济法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(08)经济法学,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(11)国际仲裁与争端解决,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(979)专业综合卷四（含国际公法、国际私法）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(11)国际仲裁与争端解决,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(202)俄语,(679)法学综合卷（含法理学、宪法学）,(979)专业综合卷四（含国际公法、国际私法）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(11)国际仲裁与争端解决,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(203)日语,(679)法学综合卷（含法理学、宪法学）,(979)专业综合卷四（含国际公法、国际私法）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(11)国际仲裁与争端解决,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(241)德语,(679)法学综合卷（含法理学、宪法学）,(979)专业综合卷四（含国际公法、国际私法）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(11)国际仲裁与争端解决,不区分导师,研究方向：1(不含推免),(101)思想政治理论,(242)法语,(679)法学综合卷（含法理学、宪法学）,(979)专业综合卷四（含国际公法、国际私法）
(10003)清华大学,统考,(066)法学院,(030100)法学,全日制,(09)知识产权法学,不区分导师,研究方向：2(不含推免),(101)思想政治理论,(201)英语（一）,(679)法学综合卷（含法理学、宪法学）,(978)专业综合卷三（含民法学、商法学）
