室内足球少年!!!!!,还未开播
锈色铠甲 黎明,还未开播
博人传 火影忍者新时代,还未开播
现实主义勇者的王国再建记,还未开播
创之界限,还未开播
失格纹的最强贤者～世界最强的贤者为了变得更强而转生了～,还未开播
名侦探柯南,还未开播
勇者斗恶龙 达伊的大冒险,还未开播
指名！,还未开播
擅长捉弄的高木同学 第三季,还未开播
男孩遇见女孩,还未开播
少女前线,还未开播
女孩的钓鱼慢活,还未开播
妖怪手表,还未开播
国王排名,还未开播
通灵王,还未开播
辉夜大小姐想让我告白 中配版,还未开播
秘密内幕 女警的反击,还未开播
东方少年,还未开播
里亚德录大地,还未开播
鬼灭之刃 无限列车篇,2022-01-05 20:00:01
键等学园/键等,还未开播
宿命回响：命运节拍,还未开播
世界尽头的圣骑士,2022-01-03 21:30:00
转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,2021-12-30 23:00:01
我被逐出队伍后过上慢生活,2021-12-29 22:30:00
月野艺能事务所 第二季,2021-12-29 22:00:00
卡片战斗先导者overDress,2021-12-27 23:30:00
RE-MAIN：少年与水球,2021-12-27 22:00:00
关于前辈很烦人的事,2021-12-26 01:30:00
大正少女御伽话,2021-12-25 02:08:01
迷宫标记者,2021-12-23 22:30:00
舞伎家的料理人,还未开播
"世界顶尖的暗杀者,转生为异世界贵族",2021-12-22 23:00:00
进化之实 踏上胜利的人生,2021-12-21 01:00:00
无敌侠：舞动的英雄,2021-12-19 01:26:00
半妖的夜叉姬 第二季,还未开播
烧窑的话也要马克杯 第二季,2021-12-18 02:55:00
结城友奈是勇者 第三季 / 大满开之章,2021-12-18 02:25:00
白沙的水族馆,2021-12-17 00:30:01
命运-冠位嘉年华,2021-12-04 00:00:01
JOJO的奇妙冒险 石之海,还未开播
平家物语,2021-11-24 23:00:00
奇巧出租车,2021-11-20 20:00:01
LoveLive 爱与演唱会!超级明星!!,2021-11-13 20:00:00
极主夫道,2021-11-04 15:00:00
魔法纪录 魔法少女小圆外传 第二季,还未开播
瓦尼塔斯的手记,2021-10-15 23:30:00
见面5秒开始战斗,2021-10-15 22:00:00
紫罗兰永恒花园 中配版,2021-10-06 11:00:00
阴晴不定大哥哥,2021-10-05 00:00:00
伊甸星原 EDENS ZERO,2021-10-03 01:25:00
入间同学入魔了 第二季,2021-10-02 19:00:00
干物妹！小埋R 中配版,2021-10-02 11:00:00
漂流少年,2021-10-01 00:30:00
歌剧少女！！,2021-09-26 00:00:00
我们的重制人生,2021-09-25 20:30:00
蔚蓝反射 澪,2021-09-25 02:30:00
我立于百万生命之上（第二季）,2021-09-25 00:30:00
异世界迷宫黑心企业,2021-09-24 22:00:00
地球先锋队（中配版）,还未开播
月光下的异世界之旅,2021-09-22 23:00:00
开挂药师的奇幻世界悠闲生活,2021-09-22 22:00:01
关于我转生变成史莱姆这档事 第二季,2021-09-21 23:00:00
